t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
3.200000000000000067e-01,4.316300414457179538e-10,-1.523116313743396288e+00,-5.238296285722664574e-10,-2.676604280230683863e-01,-1.804573573057722026e-09,3.103069856344134347e+00,-2.460303838047467065e-09,3.801573719471209244e-09,3.424673576801041674e-01,-4.613619901874068261e-09,2.060573752587871454e-02,-1.589374883919251150e-08,-3.252615668459954423e-01,-2.166908119117015774e-08,2.077295853551475323e-08,1.871346117640368734e+00,-2.521022660415134638e-08,1.125960359591076376e-01,-8.684829230573393335e-08,-1.777328427614514039e+00,-1.184064701366602883e-07
3.300000000000000155e-01,4.706907107451936899e-10,-1.519597506746259041e+00,-5.712339654492716556e-10,-2.674487067837701404e-01,-1.967879749170224475e-09,3.099727836581811058e+00,-2.682950793464005063e-09,4.011182205668454990e-09,3.613500809185429818e-01,-4.868002416822593887e-09,2.174188212506275586e-02,-1.677008713486174885e-08,-3.431956093441155820e-01,-2.286385568219283044e-08,2.114619997399984437e-08,1.904969826832174196e+00,-2.566319536284700312e-08,1.146191231547638023e-01,-8.840875281956715759e-08,-1.809262858997946477e+00,-1.205339572331271464e-07
3.400000000000000244e-01,5.118658736785155264e-10,-1.515888214149985647e+00,-6.212044685067541644e-10,-2.672255243170870154e-01,-2.140026272259634748e-09,3.096204901345218197e+00,-2.917650424327909013e-09,4.224447173529692412e-09,3.805622007980252741e-01,-5.126822466808103913e-09,2.289784601672835776e-02,-1.766171257356465821e-08,-3.614424993740571468e-01,-2.407947222545435425e-08,2.150427778603076678e-08,1.937227510407270259e+00,-2.609776142467131346e-08,1.165600186767310753e-01,-8.990581672764224259e-08,-1.839899894812199843e+00,-1.225750112160902918e-07
3.500000000000000333e-01,5.551913391727726475e-10,-1.511985210082990250e+00,-6.737845957415527577e-10,-2.669906865272557717e-01,-2.321162853507520788e-09,3.092497986832731804e+00,-3.164606842569059490e-09,4.441217674321911431e-09,4.000901189991302731e-01,-5.389896859255581952e-09,2.407281101077799607e-02,-1.856799406369889196e-08,-3.799893218051306754e-01,-2.531507040876949553e-08,2.184732947791371632e-08,1.968131555714902836e+00,-2.651409166836389133e-08,1.184194678528822514e-01,-9.134005892100581150e-08,-1.869251300057746201e+00,-1.245304158755095736e-07
3.599999999999999867e-01,6.007014135430388107e-10,-1.507885404037514476e+00,-7.290159815686924161e-10,-2.667440074631476921e-01,-2.511432921923975019e-09,3.088604157805786343e+00,-3.424015595184979353e-09,4.661344134375159624e-09,4.199203610759291716e-01,-5.657044070377406400e-09,2.526596637039285262e-02,-1.948830626257255443e-08,-3.988232791566511670e-01,-2.656979765785259252e-08,2.217549255595486567e-08,1.997694350104315397e+00,-2.691235297266433409e-08,1.201982160110899867e-01,-9.271205429070439481e-08,-1.897328839735055173e+00,-1.264009550013448140e-07
3.699999999999999956e-01,6.484289142430047617e-10,-1.503585839630891208e+00,-7.869384535092602880e-10,-2.664853092437359239e-01,-2.710973681836729788e-09,3.084520606412371801e+00,-3.696063742619839268e-09,4.884678355082554634e-09,4.400395764559865142e-01,-5.928084245173358708e-09,2.647650881203288467e-02,-2.042202957640424819e-08,-4.179316915979390812e-01,-2.784280923631763475e-08,2.248890452646040077e-08,2.025928280924753189e+00,-2.729271221631226226e-08,1.218970084792270481e-01,-9.402237772778462892e-08,-1.924144278844598821e+00,-1.281874123835559149e-07
3.800000000000000044e-01,6.984051836156064621e-10,-1.499083693366810799e+00,-8.475900488782767926e-10,-2.662144219835626546e-01,-2.919916170380250051e-09,3.080244651010536128e+00,-3.980929937143440493e-09,5.111073512900269280e-09,4.604345384403584762e-01,-6.202839197430608489e-09,2.770364250543673468e-02,-2.136855016032300792e-08,-4.373019969483188385e-01,-2.913326824567816380e-08,2.278770289573650422e-08,2.052845735525461457e+00,-2.765533627804727983e-08,1.235165905851661611e-01,-9.527160412329307079e-08,-1.949709382386847656e+00,-1.298905718121027251e-07
3.900000000000000133e-01,7.506601026436572455e-10,-1.494376273396584853e+00,-9.110070314725713746e-10,-2.659311837182060656e-01,-3.138385314984844677e-09,3.075773734991882780e+00,-4.278784501230220821e-09,5.340384159347541482e-09,4.810921442035941409e-01,-6.481132409723727586e-09,2.894657907362179275e-02,-2.232725991836835992e-08,-4.569217506771199866e-01,-3.044034562534734606e-08,2.307202517008934873e-08,2.078459101255683450e+00,-2.800039203660898415e-08,1.250577076567800094e-01,-9.646030836827630387e-08,-1.974035915362272187e+00,-1.315112170769450406e-07
4.000000000000000222e-01,8.052221047004786299e-10,-1.489461018280412885e+00,-9.772239082586565022e-10,-2.656354403297480626e-01,-3.366499990865771135e-09,3.071105425605073158e+00,-4.589789505938247700e-09,5.572466221006667644e-09,5.019994147937348883e-01,-6.762789033414678488e-09,3.020453759288416890e-02,-2.329755650349027914e-08,-4.767786259036765895e-01,-3.176322015263792642e-08,2.334200885582513675e-08,2.102780765464665524e+00,-2.832804637073701231e-08,1.265211050219413880e-01,-9.758906535378096454e-08,-1.997135642771344699e+00,-1.330501319680427896e-07
4.100000000000000311e-01,8.621181893005298895e-10,-1.484335495748645872e+00,-1.046273446060601354e-09,-2.653270454722410632e-01,-3.604373078512338936e-09,3.066237412779324600e+00,-4.914098849288213837e-09,5.807176999523007618e-09,5.231434951323141735e-01,-7.047635888652820947e-09,3.147674459279869302e-02,-2.427884331754920900e-08,-4.968604133973272829e-01,-3.310107844276225147e-08,2.359779145925002774e-08,2.125823115501651372e+00,-2.863846615917094180e-08,1.279075280085229527e-01,-9.865844997085358330e-08,-2.019020329614534592e+00,-1.345081002753557415e-07
4.199999999999999845e-01,9.213739358500395906e-10,-1.478997401463052030e+00,-1.118186688247905506e-09,-2.650058604971752274e-01,-3.852111521177015142e-09,3.061167507947911037e+00,-5.251858334642434869e-09,6.044375171604986357e-09,5.445116540143587480e-01,-7.335501464374915289e-09,3.276243405621893923e-02,-2.527052951131606802e-08,-5.171550215774158854e-01,-3.445311494883229257e-08,2.383951048667022087e-08,2.147598538715886018e+00,-2.893181828065040640e-08,1.292177219443974845e-01,-9.966903711054078329e-08,-2.039701740892314596e+00,-1.358859057888438512e-07
4.299999999999999933e-01,9.830135173976354732e-10,-1.473444557778082364e+00,-1.192992971423372723e-09,-2.646717543789460225e-01,-4.109816382364524509e-09,3.055893642871662763e+00,-5.603205749083840416e-09,6.283920789024084820e-09,5.660912841083869385e-01,-7.626215918305114140e-09,3.406084741927719456e-02,-2.627202998447222996e-08,-5.376504765132905650e-01,-3.581853196185958310e-08,2.406730344439188551e-08,2.168119422456613599e+00,-2.920826961391499022e-08,1.304524321574376533e-01,-1.006214016638891083e-07,-2.059191641605153222e+00,-1.371843322984668351e-07
4.400000000000000022e-01,1.047059714384975677e-09,-1.467674912502134665e+00,-1.270719942110986092e-09,-2.643246036403210097e-01,-4.377582903320962850e-09,3.050413868462466649e+00,-5.968270941794977543e-09,6.525675278614850717e-09,5.878699019564102013e-01,-7.919611076954965737e-09,3.537123357138449026e-02,-2.728276538560954701e-08,-5.583349219243042283e-01,-3.719653961075528453e-08,2.428130783872121421e-08,2.187398154073079581e+00,-2.946798703770432373e-08,1.316124039755162400e-01,-1.015161185219451946e-07,-2.077501796753523866e+00,-1.384041635941846744e-07
4.500000000000000111e-01,1.113533928397378624e-09,-1.461686537658819507e+00,-1.351393573443780162e-09,-2.639642922779073531e-01,-4.655500560522893037e-09,3.044726353606766800e+00,-6.347175902436999332e-09,6.769501442274888593e-09,6.098351479739319014e-01,-8.215520435623414752e-09,3.669284885523056011e-02,-2.830216211223031664e-08,-5.791966191798143537e-01,-3.858635586233012693e-08,2.448166117596438297e-08,2.205447120914528547e+00,-2.971113743075800759e-08,1.326983827265059424e-01,-1.023537625757555993e-07,-2.094643971337896371e+00,-1.395461834659571386e-07
4.600000000000000200e-01,1.182456195914455173e-09,-1.455477628248224908e+00,-1.435038181851716591e-09,-2.635907116876188283e-01,-4.943653123166455063e-09,3.038829383989062993e+00,-6.740034839528667515e-09,7.015263456964873881e-09,6.319747864499484225e-01,-8.513779158396808913e-09,3.802495706678390291e-02,-2.932965231074733462e-08,-6.002239472991838243e-01,-3.998720652129448834e-08,2.466850096242757440e-08,2.222278710330204632e+00,-2.993788767181564579e-08,1.337111137382794579e-01,-1.031349087163669057e-07,-2.110629930358741468e+00,-1.406111757037441030e-07
4.700000000000000289e-01,1.253845202060736953e-09,-1.449046501008180998e+00,-1.521676443749557733e-09,-2.632037605901432764e-01,-5.242118710656469901e-09,3.032721360915411335e+00,-7.146954258825343528e-09,7.262826874708528921e-09,6.542767055469476123e-01,-8.814224078148875013e-09,3.936682945529167837e-02,-3.036467387648381886e-08,-6.214054029517790401e-01,-4.139832523025826246e-08,2.484196470441697443e-08,2.237905309669353304e+00,-3.014840463961685555e-08,1.346513423387095953e-01,-1.038601318348257371e-07,-2.125471438816530778e+00,-1.415999240975054695e-07
